"ndc","rxcui","atc4","atc4_name"
"0000000<NA>",NA,NA,NA
"00000000000",358925,NA,NA
"00002050301",597823,"J01GB","Other aminoglycosides"
"00002050301",597823,"S01AA","Antibiotics"
"00002060440",212797,"J04AB","Antibiotics"
"00002100902",997170,"R05DA","Opium alkaloids and derivatives"
"00002107602",309886,NA,NA
"00002140701",853004,NA,NA
"00002143301",1551300,"A10BJ","Glucagon-like peptide-1 (GLP-1) analogues"
"00002143401",1551306,"A10BJ","Glucagon-like peptide-1 (GLP-1) analogues"
"00002143601",2058877,"N02CD","Calcitonin gene-related peptide (CGRP) antagonists"
"00002148501",201860,"J04AB","Antibiotics"
"00002166302",313324,"A11DA","Vitamin B1, plain"
"00002167802",NA,NA,NA
"00002168702",864714,"N07BC","Drugs used in opioid dependence"
"00002237237",209264,NA,NA
"00002255103",895237,NA,NA
"00002256305",308353,NA,NA
"00002311501",2170613,"N02CD","Calcitonin gene-related peptide (CGRP) antagonists"
"00002322830",352319,"N06BA","Centrally acting sympathomimetics"
"00002322930",352320,"N06BA","Centrally acting sympathomimetics"
"00002323560",596928,"N06AX","Other antidepressants"
"00002323830",352318,"N06BA","Centrally acting sympathomimetics"
"00002323930",352321,"N06BA","Centrally acting sympathomimetics"
"00002324001",596932,"N06AX","Other antidepressants"
"00002324030",596932,"N06AX","Other antidepressants"
"00002324033",596932,"N06AX","Other antidepressants"
"00002411230",212405,"N05AH","Diazepines, oxazepines, thiazepines and oxepines"
"00002411233",212405,"N05AH","Diazepines, oxazepines, thiazepines and oxepines"
"00002411533",153046,"N05AH","Diazepines, oxazepines, thiazepines and oxepines"
"00002411633",153047,"N05AH","Diazepines, oxazepines, thiazepines and oxepines"
"00002411733",153048,"N05AH","Diazepines, oxazepines, thiazepines and oxepines"
"00002416530",1490067,"G03XC","Selective estrogen receptor modulators"
"00002418430",1490067,"G03XC","Selective estrogen receptor modulators"
"00002445385",754506,"N05AH","Diazepines, oxazepines, thiazepines and oxepines"
"00002445485",754503,"N05AH","Diazepines, oxazepines, thiazepines and oxepines"
"00002475977",855816,"B01AC","Platelet aggregation inhibitors excl. heparin"
"00002512377",855816,"B01AC","Platelet aggregation inhibitors excl. heparin"
"00002533754",1946844,"L01EF","Cyclin-dependent kinase (CDK) inhibitors"
"00002701101",1665050,"J01DB","First-generation cephalosporins"
"00002714001",108911,"B01AC","Platelet aggregation inhibitors excl. heparin"
"00002717510",1812170,"C01CA","Adrenergic and dopaminergic agents"
"00002723801",1659292,"J01DD","Third-generation cephalosporins"
"00002723901",1659294,"J01DD","Third-generation cephalosporins"
"00002726601",1665050,"J01DB","First-generation cephalosporins"
"00002733501",207834,"H01AC","Somatropin and somatropin agonists"
"00002735501",208812,NA,NA
"00002746701",313572,"A07AA","Antibiotics"
"00002746701",313572,"J01XA","Glycopeptide antibacterials"
"00002746701",313572,"S01AA","Antibiotics"
"00002749601",309985,"C01CA","Adrenergic and dopaminergic agents"
"00002750201",1720977,"L01BC","Pyrimidine analogues"
"00002751001",865098,"A10AB","Insulins and analogues for injection, fast-acting"
"00002751001",865098,"A10AC","Insulins and analogues for injection, intermediate-acting"
"00002751001",865098,"A10AD","Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
