,0
0,904198861
1,0
2,51079007320
3,6022761
4,63323026201
5,173068224
6,245004101
7,61958070101
8,135019502
9,63739054410
10,19515089452
11,487980125
12,51079007220
13,65649030303
14,121457735
15,54812025
16,904272561
17,597007575
18,67467064301
19,66553000401
20,409490234
21,2821501
22,61553008348
23,46287000660
24,173071920
25,57664037708
26,60505260400
27,409189001
28,904399061
29,904516561
30,536338101
31,49502069724
32,121054410
33,904663861
34,42543070590
35,78050215
36,54162000708
37,60687019001
38,11523726808
39,68546014256
40,63824072283
41,10432017002
42,68084035401
43,904053061
44,121197100
45,121483940
46,641612525
47,338011704
48,703854023
49,338004904
50,338350841
51,43825010201
52,19515090941
53,70860077602
54,406055262
55,10019055302
56,63323016101
57,904150061
58,338067104
59,641092825
60,904150161
61,781305714
62,406035762
63,17714002001
64,338012504
65,121176130
66,74233411
67,904224461
68,703450204
69,182844789
70,55390000401
71,49281001350
72,17714001110
73,6473900
74,49999006600
75,51079097220
76,182864389
77,38396055018
78,51079000220
79,904568461
80,182402889
81,406051262
82,574705050
83,182181089
84,63323001201
85,182845389
86,54815624
87,168004631
88,66689036430
89,264310311
90,409128331
91,17478093401
92,904530661
93,10019017644
94,61553020648
95,54839224
96,409379501
97,121043130
98,904571135
99,121065721
100,904404073
101,68084009901
102,378003201
103,66685100202
104,904634061
105,68016001129
106,68084050201
107,904629461
108,60258000601
109,409198530
110,409176230
111,63323001302
112,66591018442
113,63323018410
114,51079038620
115,904054460
116,182050789
117,63481068706
118,58177020211
119,25010040515
120,409672924
121,172531210
122,338004903
123,338004304
124,172531110
125,517760425
126,68084020601
127,54162055007
128,574200202
129,338500341
130,54848616
131,409915801
132,338008504
133,409779362
134,51079013120
135,51079088120
136,60505251903
137,66591091332
138,641036725
139,338001731
140,409419701
141,51079045620
142,173068254
143,172567310
144,172438210
145,49884078253
146,904399161
147,33332001201
148,591083960
149,338008904
150,409665305
151,456066270
152,51079054220
153,51079052420
154,8092355
155,641608025
156,904598061
157,32909071503
158,338055318
159,60505068104
160,406717162
161,63824000840
162,409739172
163,338355248
164,904586761
165,68084027801
166,68084008901
167,338004938
168,781345295
169,172567410
170,173017755
171,17270072101
172,338004902
173,409665106
174,11509021217
175,338268975
176,78112001103
177,51079096620
178,51079045420
179,641049125
180,338519741
181,63481062375
182,409781124
183,93065801
184,409610204
185,2871501
186,51079093120
187,2751001
188,597026010
189,68084078301
190,10370067801
191,904652261
192,904198261
193,64764080530
194,88222033
195,487020101
196,51079021103
197,68084053901
198,62584098801
199,63739047810
200,904628889
201,904580961
202,36000028325
203,904526161
204,71015892
205,51079020520
206,904582460
207,49999002812
208,67767015101
209,245005301
210,2831501
211,56016975
212,68084007965
213,8092360
214,56017275
215,93527201
216,264958720
217,63739035410
218,66758016013
219,904623561
220,49281041550
221,71041724
222,56017075
223,182116189
224,517570425
225,51079025520
226,4196401
227,50383068304
228,51079045820
229,50458016601
230,63653117103
231,338001704
232,409662502
233,45963043963
234,58468013001
235,378087199
236,603385521
237,517570225
238,904580861
239,904777261
240,63739002401
241,51079098320
242,74227913
243,68462014645
244,51079068420
245,51079029920
246,74434113
247,409117630
248,456201063
249,93521193
250,50458093010
251,54569041702
252,
253,74662411
254,904585461
255,24090049684
256,409121501
257,61553074004
258,10370010103
259,49281040015
260,409793009
261,338001702
262,409120703
263,641607825
264,9072809
265,37205011278
266,42292003920
267,19515090641
268,904670806
269,63323016201
270,54162055009
271,168008031
272,904673061
273,50268014013
274,70092106708
275,63739022510
276,67457029202
277,63323056887
278,338002304
279,60505613005
280,76329330101
281,904645561
282,472030680
283,11509021265
284,51079078820
285,74518211
286,54092018981
287,59762501601
288,51079011820
289,51672126302
290,8083303
291,54408425
292,338050941
293,45064165
294,172541310
295,173069700
296,168001135
297,409117830
298,143148001
299,63323047401
300,65649023141
301,33332001001
302,173069604
303,51079079001
304,338080304
305,143989701
306,51079089520
307,517090125
308,121174410
309,68084033701
310,409471332
311,409433201
312,8290036005
313,51079012620
314,63323050830
315,63323040009
316,781320995
317,409427601
318,50474059540
319,54022463
320,310032520
321,50242004413
322,6384371
323,802396216
324,8084199
325,703095803
326,54864816
327,363069338
328,904107061
329,206886202
330,713016550
331,51079060520
332,338101948
333,409405201
334,409116202
335,54327099
336,409131230
337,713013512
338,55045141500
339,10631040701
340,63323002101
341,52268010001
342,904553561
343,33332001101
344,10939033733
345,10019002902
346,51079041720
347,93730165
348,74300000068
349,409379301
350,74707090
351,61553018348
352,68084009701
353,51079034820
354,338105548
355,264310511
356,75062040
357,536242558
358,63824071298
359,6494300
360,49281041688
361,487950101
362,50383077933
363,75062300
364,781340495
365,60505075304
366,75062280
367,409477702
368,57896045208
369,50242004164
370,75062430
371,8290306525
372,76329301205
373,68084007001
374,63323064907
375,42292000120
376,63323049289
377,74706811
378,63739035810
379,591352530
380,8290306510
381,409471302
382,338004911
383,781340795
384,25021012720
385,904629061
386,50268085415
387,338500241
388,338358048
389,76439034310
390,44567023525
391,206886002
392,57896042101
393,603155404
394,58160087346
395,641040025
396,58177032304
397,52604510001
398,406206890
399,63739008901
400,74455211
401,904504561
402,67033062
403,338055002
404,904578561
405,63739027201
406,904642281
407,68084048211
408,57896079101
409,3089331
410,904629261
411,904677361
412,64764080510
413,17478093415
414,68084034701
415,641040012
416,904592161
417,51079075920
418,517003125
419,186502228
420,50111030801
421,51079060420
422,54162060002
423,115132801
424,49502050002
425,591557101
426,51079002320
427,63323025803
428,51079027920
429,24090047188
430,51079098020
431,62584074601
432,904634161
433,59762492101
434,904647461
435,63739012810
436,430075327
437,51079028420
438,53489036801
439,56017675
440,781155613
441,4026449
442,456321063
443,172376010
444,51079081120
445,51079081020
446,169008181
447,4026249
448,71036940
449,67781025101
450,6011728
451,63739007910
452,58177023811
453,258368890
454,54001920
455,51991045757
456,597001314
457,4080085
458,59762306003
459,258368790
460,63739049910
461,54569452202
462,53746027101
463,904386575
464,62175011937
465,61314054701
466,904635361
467,60505082901
468,904588861
469,54023755
470,9004722
471,54001720
472,3089431
473,173069704
474,61314001910
475,50111048303
476,258368990
477,67512414
478,517083001
479,49452521001
480,904504260
481,409117101
482,61553094102
483,68084056401
484,23050601
485,121177510
486,50458057910
487,51079090620
488,24208091019
489,409610202
490,66685100101
491,67457042612
492,50268061513
493,63323026965
494,61553011841
495,597008717
496,185001001
497,63323026929
498,64764054411
499,54569523500
500,338100702
501,409792203
502,65293000101
503,409909332
504,9003928
505,378699789
506,51079099120
507,182055789
508,766150010
509,224185530
510,58177022211
511,71015823
512,68094020462
513,69095050
514,781320895
515,904505359
516,68462038001
517,338001738
518,17478081725
519,591014987
520,51079074720
521,63323056990
522,904636561
523,25021067376
524,55150020210
525,68084034601
526,62584026501
527,68084067301
528,338130148
529,64980010401
530,60569049501
531,67877010501
532,68084019501
533,43598020451
534,68084076201
535,338080704
536,50111043301
537,63323010605
538,59762330403
539,904643761
540,904595961
541,71015740
542,63323038310
543,54011625
544,338105102
545,55390034810
546,517460525
547,78042306
548,409180001
549,944049101
550,338070341
551,310075239
552,173069602
553,409148402
554,186109239
555,172375910
556,54023524
557,71041813
558,6095128
559,409491134
560,51079064420
561,60505614604
562,68084066601
563,68084077401
564,43547027010
565,145150605
566,904644461
567,904632461
568,25021014330
569,904655461
570,299382060
571,63824017563
572,172375810
573,51079000720
574,591040701
575,51079080120
576,591577710
577,169368712
578,143129001
579,904215461
580,641037625
581,33332000801
582,63323036920
583,59011010320
584,59011010020
585,904052361
586,338630403
587,63323096520
588,75062160
589,54040444
590,59762024603
591,76439030910
592,143968125
593,62856024541
594,456320563
595,13830304
596,23918703
597,58177009111
598,63402051224
599,93065701
600,51079069020
601,85113601
602,310027539
603,45152010
604,2762301
605,50458092510
606,54817525
607,378911293
608,58160087546
609,37205036174
610,51079045120
611,409729501
612,50458092010
613,121063810
614,472500360
615,51079098620
616,173068220
617,68180035309
618,50268053115
619,42858030125
620,904582461
621,50383093335
622,143957010
623,68084018101
624,75291201
625,68084009801
626,536135501
627,54023525
628,76045000410
629,63323031119
630,172392560
631,60687024201
632,50383077111
633,68084039665
634,65649055102
635,68084023001
636,338070948
637,10019003867
638,47781058468
639,781329009
640,713010950
641,378180577
642,68084026901
643,68084070301
644,50268064415
645,63739064510
646,54818125
647,338350341
648,60687033301
649,143962201
650,42292003820
651,63323016501
652,409672923
653,61314063705
654,407141229
655,536110788
656,54817625
657,409751716
658,904656561
659,63323031461
660,60505083404
661,66993004730
662,61553015311
663,168035755
664,168000380
665,548301200
666,409477750
667,310032165
668,64065001
669,781573413
670,536197072
671,52010730
672,49884016111
673,409792337
674,8499020
675,10019016312
676,68516521402
677,2411233
678,2445385
679,63323022110
680,406112101
681,51079008620
682,68084006001
683,10939011801
684,904639161
685,904640161
686,904655661
687,10006070033
688,68084052401
689,69543037910
690,409610210
691,536100836
692,50268015215
693,338001711
694,68180035209
695,904759161
696,51079010320
697,536108494
698,50111091801
699,17478041940
700,409707426
701,60687023401
702,68084012801
703,63323028004
704,47781058717
705,63739068410
706,60687028201
707,378021601
708,93414664
709,64764011907
710,68774012060
711,51079055803
712,61553005148
713,186077739
714,338043103
715,24987024256
716,51079086320
717,641614225
718,143993801
719,60505011300
720,904627761
721,904627861
722,68084044701
723,68084096601
724,409177805
725,409125830
726,63323026920
727,703270403
728,182117089
729,63323031110
730,406114201
731,51672400101
732,55150015410
733,904549213
